Name,Sex,Weight
Thomas Ahrens,M,50.0
Mustafa M. Ahshad,M,113.0
Vlad-Drago Aicoboae,M,91.0
Mehdi Aidet,M,65.0
Mehdi Aidet,M,65.0
Mehdi Aidet,M,65.0
Franz Aigner,M,107.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Nobuyuki Aihara,M,53.0
Alessandro Aimar,M,68.0
Alessandro Aimar,M,68.0
Ambrosio Aimar,M,
Mongkol Aimmanolrom,M,
"Charles Benedict ""Ben"" Ainslie",M,90.0
"Charles Benedict ""Ben"" Ainslie",M,90.0
"Charles Benedict ""Ben"" Ainslie",M,90.0
"Charles Benedict ""Ben"" Ainslie",M,90.0
"Charles Benedict ""Ben"" Ainslie",M,90.0
Anna Airy (-Pocock),F,
Anna Airy (-Pocock),F,
Tassadit Assou,F,80.0
Tassadit Assou,F,80.0
Miloud Ait Hammi,M,69.0
"Amina ""Mina"" At Hammou",F,52.0
"Amina ""Mina"" At Hammou",F,52.0
Ahmed Ait Moulay,M,
Ahmed Ait Moulay,M,
Ahmed Ait Moulay,M,
Ahmed Ait Moulay,M,
Souad At Salem (-Mahour-Bacha),F,50.0
Souad At Salem (-Mahour-Bacha),F,50.0
Souad At Salem (-Mahour-Bacha),F,50.0
Souad At Salem (-Mahour-Bacha),F,50.0
Souad At Salem (-Mahour-Bacha),F,50.0
Brahim Ait Sibrahim,M,
Brahim Ait Sibrahim,M,
Brahim Ait Sibrahim,M,
Brahim Ait Sibrahim,M,
Brahim Ait Sibrahim,M,
"Andrew Irving ""Andy"" Aitken",M,
Robert Ingersoll Aitken,M,
Vladimir Atoff,M,
Marina Aleksandrovna Aitova (Korzhova-),F,58.0
Marina Aleksandrovna Aitova (Korzhova-),F,58.0
Hctor Aizpuro,M,82.0
"Oluwafemi ""Junior"" Ajayi",M,79.0
Kikelomo Ajayi,F,57.0
"Ebenezer Oluwafemi ""Femi"" Ajilore",M,75.0
Kouadio Vincent Aka-Akesse,M,96.0
Kouadio Vincent Aka-Akesse,M,96.0
Kouadio Vincent Aka-Akesse,M,96.0
Chieko Akagi,F,59.0
Kanji Akagi,M,
Kanji Akagi,M,
Kanji Akagi,M,
Kanji Akagi,M,
Akiko Akasaka,F,52.0
Waqar Akbar,M,58.0
Ahmed Akbari Javid,M,75.0
Ahmed Akbari Javid,M,75.0
Ahmed Akbari Javid,M,75.0
Tolga Aslan Akcayli,M,
Adolfas Akelaitis,M,
Patsy Serafina Akeli,F,89.0
Patsy Serafina Akeli,F,89.0
Harry Mikael kerfelt,M,
Marcus Ricard kerholm,M,86.0
Nils Erik kerlindh,M,
Bruce Robert Akers,M,74.0
Bruce Robert Akers,M,74.0
Michelle Anne Akers,F,68.0
Bilal Akgl,M,59.0
brahim Akgl,M,57.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Albina Khamitovna Akhatova,F,55.0
Doli Akhtar,F,53.0
Doli Akhtar,F,53.0
Doli Akhtar,F,53.0
Muhammad Akhtar,M,62.0
Muhammad Akhtar,M,62.0
Shabana Akhtar,F,51.0
Allan Akia,M,66.0
John Akii-Bua,M,77.0
John Akii-Bua,M,77.0
John Akii-Bua,M,77.0
Jonathan Akinyemi,M,85.0
Jonathan Akinyemi,M,85.0
Mary Akinyemi (-Akinkuowo),F,62.0
Mary Akinyemi (-Akinkuowo),F,62.0
Mobolaji Iyabode Akiode,F,75.0
Lahcen Samsam Akka,M,120.0
Lahcen Samsam Akka,M,120.0
Ayewoubo Akomatsri,M,54.0
Aleksandr Akondinov,M,
Aulis Juhani Akonniemi,M,100.0
Ajtony kos,M,65.0
Ajtony kos,M,65.0
Mehmet Akpnar,M,69.0
Varvara Akritidou,F,78.0
Hasan Al,M,67.0
Abdullah Basheer Al-Abdullah,M,
Jamal Al-Abdullah Sulaiman Sultan,M,65.0
Jamal Al-Abdullah Sulaiman Sultan,M,65.0
Hassan Abdullah Al-Absi,M,
Hassan Abdullah Al-Absi,M,
Bassam Al-Ansari,M,61.0
Bassam Al-Ansari,M,61.0
Bassam Al-Ansari,M,61.0
Dhaher Al-Aryani,M,73.0
Khaled Al-Assaf,M,68.0
Mohamed Juma Al-Aswad Al-Makhoun,M,80.0
Mary Al-Atrash,F,57.0
Zouheir Al-Balah,M,74.0
Faisal Abdullah Al-Basam,M,
Hamed Hamadan Al-Bishi,M,70.0
Hussain Misfor Al-Bishi,M,69.0
Mohamed Al-Bouhairi,M,69.0
Abdul Latif Mohamed Al-Bulushi,M,69.0
Abdul Latif Mohamed Al-Bulushi,M,69.0
Abdul Latif Mohamed Al-Bulushi,M,69.0
Medhadi Al-Dosari,M,
Medhadi Al-Dosari,M,
Youssef Matouq Al-Dosari,M,51.0
Youssef Matouq Al-Dosari,M,51.0
Ahmed Al-Doseri,M,69.0
Ahmed Al-Doseri,M,69.0
Ahmed Al-Doseri,M,69.0
Ahmed Al-Doseri,M,69.0
Mohsen Hussain Al-Duhaylib,M,69.0
Jaklein Al-Duqom,F,
Mohamed Al-Fararjeh,M,77.0
Bahaa Al-Farra,M,65.0
Abdulsalam Al-Gadabi,M,
Abdullah Al-Garni,M,
Hamad A. Al-Hammadi,M,68.0
Hamad A. Al-Hammadi,M,68.0
Khalid Al-Harbi,M,73.0
Khalifa Al-Hitmi,M,
Ahmed H. Al-Imam,M,68.0
Khalid Al-Karkhi,M,63.0
Khalid Al-Karkhi,M,63.0
Khaled Salman Al-Khalidi,M,110.0
Khaled Salman Al-Khalidi,M,110.0
Khaled Salman Al-Khalidi,M,110.0
Ali Al-Khalifa,M,65.0
Ali Al-Khalifa,M,65.0
Salman Al-Khalifa,M,65.0
Majid Sultan Al-Khamis,M,75.0
Tameem Mohammed Ahmed Al-Kubati,M,58.0
Faisal Al-Mahmeed,M,72.0
Talib Salim Al-Maiwali,M,
Latifah bint Ahmed bin Juma Al-Maktoum,F,46.0
Juma bin Dalmouk bin Juma bin Maktoum Al-Maktoum,M,68.0
Muneir Al-Masri,M,68.0
Muneir Al-Masri,M,68.0
Nader Abdullah Al-Massri,M,58.0
Ibrahim Nasser Al-Matrooshi,M,61.0
Adel Mulla Al-Mulla,M,
Faraj Mubarak Al-Mutairi,M,77.0
Sayed Al-Mutairi Bariq,M,65.0
Sayed Al-Mutairi Bariq,M,65.0
Sayed Al-Mutairi Bariq,M,65.0
Sayed Al-Mutairi Bariq,M,65.0
Manhi Hamd Al-Mutairy,M,65.0
Naser Al-Othman,M,60.0
